SiteID1,SiteID2,SiteName,SiteLat,SiteLon,SiteLonAdj
MS06DLGS01a,MS06DLGS01a,Great Bahama Bank south 118MC,24.59,280.73,-79.26999999999998
MS07JRGM01,WEB2606fc74,Gulf of Mexico,27.2,268.58,-91.42000000000002
MS07JRGM01a,MS07JRGM01aa,Gulf of Mexico,27.2,268.58,-91.42000000000002
MS07KPPB002,MS07KPPB002,Panama Basin,35.5,9.5,9.5
MS07KPPB002,MS07KPPB0022,Panama Basin,35.5,9.5,9.5
MS07LSPG01b,MS07LSPG01b,WEq Pacific,-5.0,133.44,133.44
MS07LSPG01a,MS07LSPG01a,WEq Pacific,-5.0,133.44,133.44
MS07LSSP01b,MS07LSSP01b,Southern Philippines,6.3,125.83,125.83
MS07LSSP01a,MS07LSSP01a,Southern Philippines,6.3,125.83,125.83
MS07MMNP01a,MS07MMNP01a,Southern Chile Margin,-44.15,284.8400000000001,-75.15999999999991
MS07MMNP01b,MS07MMNP01b,Southern Chile Margin,-44.15,284.8400000000001,-75.15999999999991
MS07RCNA02,MS07RCNA02,subpolar N. Atl,61.43,335.92,-24.079999999999984
MS07SWGG01b,MS07SWGG01b,"Gulf of Guinea, EEA",2.5,9.38,9.38
MS07SWGG01a,MS07SWGG01a,"Gulf of Guinea, EEA",2.5,9.38,9.38
MS07SWGG01,LPDfaa61777t,"Gulf of Guinea, EEA",2.5,9.38,9.38
MS08UAPM01,MS08UAPM01,Portuguese Margin,38.625,350.4917,-9.50830000000002
MS09DOIP01b,MS09DOIP01b,Makassar Strait,-3.53,119.2,119.2
MS09DOIP01a,MS09DOIP01a,Makassar Strait,-3.53,119.2,119.2
MS09DTNA02b,MS09DTNA02b,RApiD-12-1K Subpolar North Atlantic,62.08,342.18,-17.819999999999993
MS09DTNA01b,MS09DTNA01b,RApiD-12-1K Subpolar North Atlantic,62.08,342.18,-17.819999999999993
MS09DTNA02a,MS09DTNA02a,RApiD-12-1K Subpolar North Atlantic,62.08,342.18,-17.819999999999993
MS09DTNA01,MS09DTNA01a,RApiD-12-1K Subpolar North Atlantic,62.08,342.18,-17.819999999999993
MS09TCIS01,MS09TCIS01,Ionian Sea,39.7619,17.8986,17.8986
MS09TRFD01b,MS09TRFD01b,Feni Drift,55.5,346.1,-13.899999999999977
MS09TRFD01a,MS09TRFD01a,Feni Drift,55.5,346.1,-13.899999999999977
MS10BLMS01b,MS10BLMS01b,"Makassar Strait, core 13GGC",-7.4,115.2,115.2
MS10BLMS01a,MS10BLMS01a,"Makassar Strait, core 13GGC",-7.4,115.2,115.2
MS10JTMA001,MS10JTMA001,Makassar Strait,-3.8833,119.45,119.45
MS11ANMN01b,MS11ANMN01b,Makassar straits north,1.4,119.08,119.08
MS11ANMN01a,MS11ANMN01a,Makassar straits north,1.4,119.08,119.08
MS11ANMS01b,MS11ANMS01b,Makassar straits south,-5.2,117.48,117.48
MS11ANMS01a,MS11ANMS01a,Makassar straits south,-5.2,117.48,117.48
MS11CSCN01b,MS11CSCN01b,Carolina Slope North,32.98,283.68,-76.32
MS11CSCN01a,MS11CSCN01a,Carolina Slope North,32.98,283.68,-76.32
MS11CSCS01b,MS11CSCS01b,Carolina Slope South,32.78,283.72,-76.27999999999997
MS11CSCS01a,MS11CSCS01a,Carolina Slope South,32.78,283.72,-76.27999999999997
MS11FAPM04,MS11FAPM04,Portuguese Margin,41.335,351.0117,-8.988299999999981
MS11FAPM02,MS11FAPM02,Portuguese Margin,41.335,351.0117,-8.988299999999981
MS11FAPM03,MS11FAPM03,Portuguese Margin,41.335,351.0117,-8.988299999999981
MS11FAPM01,MS11FAPM01,Portuguese Margin,41.335,351.0117,-8.988299999999981
MS11KDMS01,MS11KDMS01,Makassar strait,1.4033,119.07799999999999,119.07799999999999
MS11KWFS01,MS11KWFS01,eastern Fram Strait,78.9157,6.7672,6.7672
MS11SENS01,MS11SENS01,Norwegian Sea,63.76,5.25,5.25
MS12AMMM01b,MS12AMMM01b,Mediterranean (Minorca),40.5,4.03,4.03
MS12AMMM01a,MS12AMMM01a,Mediterranean (Minorca),40.5,4.03,4.03
MS12AMMM02b,MS12AMMM02b,Mediterranean (Minorca),40.5,4.03,4.03
MS12AMMM02a,MS12AMMM02a,Mediterranean (Minorca),40.5,4.03,4.03
MS12CCCH01b,MS12CCCH01b,Cape Hatteras,34.973,284.79900000000004,-75.20099999999996
MS12CCCH01a,MS12CCCH01a,Cape Hatteras,34.973,284.79900000000004,-75.20099999999996
MS13KWFS02,MS13KWFS02,eastern Fram Strait,78.9157,6.7672,6.7672
MS13KWFS01,MS13KWFS01,eastern Fram Strait,78.9157,6.7672,6.7672
MS13RSAS01b,MS13RSAS01b,"SW coast of India, Indian ocean",10.98,74.9993,74.9993
MS13RSAS01a,MS13RSAS01a,"SW coast of India, Indian ocean",10.98,74.9993,74.9993
MS14GFSS01b,MS14GFSS01b,Savu Sea,-9.5948,120.917,120.917
MS14GFSS01a,MS14GFSS01a,Savu Sea,-9.5948,120.917,120.917
MS14MOLS03,MS14MOLS03,RApiD-35-25B Labrador Sea,57.5042,311.2777,-48.72230000000002
MS14MOLS01b,MS14MOLS01b,RApiD-35-25B Labrador Sea,57.5042,311.2777,-48.72230000000002
MS14MOLS02a,MS14MOLS02a,RApiD-35-25B Labrador Sea,57.5042,311.2777,-48.72230000000002
MS14MOLS02b,MS14MOLS02b,RApiD-35-25B Labrador Sea,57.5042,311.2777,-48.72230000000002
MS14MOLS01a,MS14MOLS01a,RApiD-35-25B Labrador Sea,57.5042,311.2777,-48.72230000000002
MS14MORR01b,MS14MORR01b,RAPID 17-5P North Atlantic,61.4817,340.464,-19.536
MS14MORR01a,MS14MORR01a,RAPID 17-5P North Atlantic,61.4817,340.464,-19.536
